"date","dt","kind","correction","mean","ag","nag","veg","nveg","urban","urb_veg","urb_nveg","ag_veg","ag_nveg"
2019-09-28,2019-09-28 00:12:25,"temperature","corrected",19.1777883882106,19.102146819804,19.3351967750583,19.2463885408888,19.1306497539992,20.0109122672916,20.0537414705782,20.0066746309022,19.2309463980223,18.9478486062396
2020-07-04,2020-07-04 02:04:16,"temperature","corrected",19.2633403022927,18.9432852945695,19.9294065895231,19.09073737804,19.3689597952851,21.4875116564273,21.409545982486,21.493774327507,19.0472011588485,18.8326384286882
2020-09-01,2020-09-01 02:34:18,"temperature","corrected",19.232400902023,18.8927011191242,19.9435940578077,19.0425718223804,19.3485625246196,21.1315946296632,21.1210112227191,21.1324468620876,18.9875499236271,18.7919017754706
2020-09-19,2020-09-19 02:54:07,"temperature","corrected",17.253693562906,17.199003363457,17.3672323476414,17.3788251361496,17.1773453050043,18.4178532548872,18.7474873223707,18.3910860664761,17.3606498756929,17.0269814618673
2019-08-30,2019-08-30 04:18:27,"temperature","corrected",20.167186855122,20.1006364421054,20.3056903600566,20.2737535440829,20.0941344482792,21.1008167429398,21.2020722540768,21.0908966665954,20.2604586501446,19.909581499906
2020-09-15,2020-09-15 04:26:58,"temperature","corrected",16.6127140232947,16.3554496377089,17.1497539438064,16.6262597707282,16.6044646972508,17.8956793210887,18.0419411806308,17.8840248244117,16.5850531571758,16.1126043553879
2019-06-28,2019-06-28 05:23:18,"temperature","corrected",14.5306533673036,14.3965562928422,14.8087272572966,14.6287082021279,14.4634872384754,15.7828944895518,15.9890884002003,15.7628110149549,14.6043650479863,14.1475633978757
2020-09-11,2020-09-11 05:59:49,"temperature","corrected",14.5896322279773,14.2032207398858,15.3996719877543,14.5088241209961,14.6389585584765,16.3381560513446,16.5174347887918,16.3238862532225,14.4347852181736,13.9581884816545
2018-07-15,2018-07-15 06:58:27,"temperature","corrected",22.2609079063846,22.0305147123472,22.7419206969718,22.233071573256,22.2759581317738,23.0218941713787,23.1371992770757,23.0131775329106,22.2060793800884,21.8712619068613
2018-09-13,2018-09-13 07:03:49,"temperature","corrected",12.4005672857715,12.0411948765188,13.1547788883531,12.4832014960139,12.3558384186746,14.0910291251416,14.2701900086313,14.0776338874052,12.420006936591,11.6976838562438
2020-09-07,2020-09-07 07:33:14,"temperature","corrected",21.3956071146796,21.0620845610965,22.0916882295951,21.2285842354921,21.4977598581278,22.8282644513044,22.9304659665679,22.820014359743,21.171938720985,20.9453411504537
2019-06-21,2019-06-21 07:56:35,"temperature","corrected",22.1922935165311,21.9095313320941,22.7832217157932,21.6631968800768,22.5560675406607,23.2683081959488,22.9955096449878,23.2948425191945,21.624115553202,22.250973189895
2018-08-22,2018-08-22 08:22:38,"temperature","corrected",21.457905548619,21.1420572700906,22.1183417028464,21.1386350185006,21.6305373303863,22.405905316766,22.381794198724,22.4077412590732,21.0933822438516,21.1862652557532
2020-06-18,2020-06-18 08:23:15,"temperature","corrected",23.7294420944243,23.3428266848435,24.5380957914271,22.8963298045702,24.2387419717225,24.4356871942973,24.107655269322,24.462304350929,22.8589601537228,23.8551426184733
2020-09-03,2020-09-03 09:07:02,"temperature","corrected",23.5681149605518,23.1632548486257,24.4158805158926,22.8319812720215,24.0171302643474,24.3130702730578,24.0441939718135,24.3345243856073,22.791623403239,23.555530721568
2019-06-17,2019-06-17 09:37:52,"temperature","corrected",28.0414656518376,27.5221280972941,29.1243246225765,26.9560768765015,28.7868708924953,29.8918030078466,29.2983607152813,29.9495746564115,26.8788573567841,28.2905867658858
2020-06-14,2020-06-14 09:57:56,"temperature","corrected",26.0541066582813,25.5972641638459,27.0104968587474,24.8949814916121,26.7613490313904,27.2939820288024,26.689396427589,27.3425196340488,24.8363065391988,26.4040538034597
2019-08-15,2019-08-15 10:02:41,"temperature","corrected",30.2493068945086,29.7820342165845,31.2248274975704,29.0034660325162,31.106735609009,31.3452160022505,30.7321378251637,31.4048883002031,28.948736440731,30.7799326084584
2020-08-12,2020-08-12 10:22:51,"temperature","corrected",30.0764472782462,29.5794418275886,31.1098448257556,28.5606977490918,31.0014593612781,31.2074301125134,30.3496745616296,31.2763129674601,28.5080850078644,30.7150713393929
2019-09-01,2019-09-01 10:48:20,"temperature","corrected",30.6590320381068,30.2502502462452,31.5094542299444,29.5454461102189,31.4220102552829,31.9286615389327,31.2216494272745,31.9974461039323,29.5015746067866,31.1448199234561
2018-09-03,2018-09-03 10:53:57,"temperature","corrected",29.7072961892895,29.2525424208681,30.6505389893738,28.5725260284803,30.3213348259496,30.9786665602085,30.2685070449997,31.0322617364267,28.5162287085784,29.9245410839354
2019-07-01,2019-07-01 11:02:00,"temperature","corrected",29.9617509091339,29.3423140907357,31.2600857499915,28.5014302957739,30.9674030869977,32.0670848252322,31.3293691604611,32.1387483899729,28.4091968133427,30.458312006903
2018-08-15,2018-08-15 11:13:25,"temperature","corrected",30.2297833087368,29.6411838377066,31.4598873876678,28.7115519568085,31.0512756524881,31.7584646838736,30.9252519987021,31.821612674319,28.6322027418515,30.5613622030273
2019-08-29,2019-08-29 11:38:04,"temperature","corrected",30.3403991012694,29.785523432834,31.5010813061049,29.0258288986712,31.2460166743635,31.8786896888726,31.051563241684,31.95917741163,28.9619460929888,30.7730574634594
2019-08-11,2019-08-11 11:43:11,"temperature","corrected",29.5722023259915,28.972565512989,30.8262611645786,28.0465214807678,30.6191230794366,31.5405614106228,30.6928965845839,31.6235052472297,27.9506326930288,30.1931262331581
