"Stn.Id","year","date","Latitude","Longitude","mid_dt","ECOSTRESS","dt","Air_Temp","Location","eco1_orth","eco2_orth","eco3_orth","eco4_orth","eco5_orth","eco6_orth","eco7_orth","ECOSTRESS2","ECOSTRESS3","sunrise","sunset","closest_sunset","daytime","time_of_day","dayness","morning","dawn","dusk","dawn.dusk","deepnight","month","Band1","Band2","Band3","Band4","Band5","Band6","Band7","NDVI","NDBI","vegetated","built","landcover","Agriculture"
2,2018,2018-08-25,36.336222,-120.11291,2018-08-25 07:30:00,17.23,2018-08-25 07:22:23,20.6,"FivePoints",-8.44675124103697,-11.4863227033903,1298.86275987162,-17720.8031638272,52996.0005622581,2759296.98373842,-53698143.9803009,296.872900000001,5115.12006700002,2018-08-25 06:27:53,2018-08-25 19:40:08,2018-08-24 19:40:08,FALSE,"Night",0.908333333333333,"sunrise",TRUE,FALSE,TRUE,FALSE,8,0.0248,0.03285,0.06505,0.050725,0.4919,0.1995,0.08865,0.813038470398526,-0.42291003760486,TRUE,FALSE,"vegetated","AG"
2,2018,2018-08-31,36.336222,-120.11291,2018-08-31 11:30:00,41.23,2018-08-31 11:53:26,26,"FivePoints",15.553248758963,-26.6081603032034,-2278.30017563118,-14906.9490307246,313244.698507644,5769455.28559923,-15937504.999054,1699.9129,70087.4088670001,2018-08-31 06:32:38,2018-08-31 19:31:52,2018-08-31 19:31:52,TRUE,"Day",5.34666666666667,"sunrise",FALSE,FALSE,FALSE,FALSE,8,0.0248,0.03285,0.06505,0.050725,0.4919,0.1995,0.08865,0.813038470398526,-0.42291003760486,TRUE,FALSE,"vegetated","AG"
2,2018,2018-09-01,36.336222,-120.11291,2018-09-01 04:30:00,13.85,2018-09-01 04:31:50,14.9,"FivePoints",-11.826751241037,83.1877360919169,-25.5279687110851,-14982.2588819065,304261.33209946,-2625607.72123814,-13839093.0452728,191.822500000001,2656.74162500001,2018-09-01 06:33:25,2018-09-01 19:30:27,2018-08-31 19:30:27,FALSE,"Night",-2.02638888888889,"sunrise",FALSE,FALSE,FALSE,FALSE,9,0.0248,0.03285,0.06505,0.050725,0.4919,0.1995,0.08865,0.813038470398526,-0.42291003760486,TRUE,FALSE,"vegetated","AG"
2,2018,2018-09-03,36.336222,-120.11291,2018-09-03 10:30:00,40.87,2018-09-03 10:53:57,29.4,"FivePoints",15.193248758963,-34.8917327392032,-2286.47447642859,-12615.7067591823,336234.327359036,5391366.26272869,-25889850.0559235,1670.3569,68267.486503,2018-09-03 06:34:59,2018-09-03 19:27:35,2018-09-03 19:27:35,TRUE,"Day",4.31611111111111,"sunrise",FALSE,FALSE,FALSE,FALSE,9,0.0248,0.03285,0.06505,0.050725,0.4919,0.1995,0.08865,0.813038470398526,-0.42291003760486,TRUE,FALSE,"vegetated","AG"
2,2018,2018-09-08,36.336222,-120.11291,2018-09-08 01:30:00,19.99,2018-09-08 01:40:26,23.1,"FivePoints",-5.68675124103698,-71.847734027368,1685.60758843241,-7763.60866222973,-205705.448398426,4108724.56023169,-9390455.24754333,399.6001,7988.00599900001,2018-09-08 06:38:52,2018-09-08 19:20:17,2018-09-07 19:20:17,FALSE,"Night",-4.97388888888889,"sunrise",FALSE,FALSE,FALSE,FALSE,9,0.0248,0.03285,0.06505,0.050725,0.4919,0.1995,0.08865,0.813038470398526,-0.42291003760486,TRUE,FALSE,"vegetated","AG"
2,2018,2018-09-13,36.336222,-120.11291,2018-09-13 23:30:00,16.0700000000001,2018-09-13 23:42:14,17.1,"FivePoints",-9.60675124103694,18.4301661139344,960.002122907685,-19213.7322023378,163055.429942533,1203126.54879236,-53932245.0428772,258.244900000002,4149.99554300004,2018-09-13 06:42:43,2018-09-13 19:12:50,2018-09-13 19:12:50,FALSE,"Night",-4.49,"sunset",FALSE,FALSE,FALSE,FALSE,9,0.0248,0.03285,0.06505,0.050725,0.4919,0.1995,0.08865,0.813038470398526,-0.42291003760486,TRUE,FALSE,"vegetated","AG"
2,2018,2018-09-20,36.336222,-120.11291,2018-09-20 20:30:00,19.55,2018-09-20 20:51:22,19.3,"FivePoints",-6.12675124103698,-63.2457003380389,1659.98130929805,-9771.50446865382,-168831.450256787,4129842.04158688,-19149256.2432861,382.2025,7472.05887500001,2018-09-20 06:48:07,2018-09-20 19:02:16,2018-09-20 19:02:16,FALSE,"Night",-1.81833333333333,"sunset",FALSE,TRUE,TRUE,FALSE,9,0.0248,0.03285,0.06505,0.050725,0.4919,0.1995,0.08865,0.813038470398526,-0.42291003760486,TRUE,FALSE,"vegetated","AG"
2,2018,2018-09-23,36.336222,-120.11291,2018-09-23 03:30:00,15.49,2018-09-23 03:13:31,15.5,"FivePoints",-10.186751241037,34.3976105225952,746.899111863375,-19109.3264358526,211885.134460688,262958.890120983,-48616751.2496338,239.9401,3716.67214900001,2018-09-23 06:50:27,2018-09-23 18:57:44,2018-09-22 18:57:44,FALSE,"Night",-3.61555555555556,"sunrise",FALSE,FALSE,FALSE,FALSE,9,0.0248,0.03285,0.06505,0.050725,0.4919,0.1995,0.08865,0.813038470398526,-0.42291003760486,TRUE,FALSE,"vegetated","AG"
2,2018,2018-09-27,36.336222,-120.11291,2018-09-27 18:30:00,29.15,2018-09-27 18:00:35,25.7,"FivePoints",3.47324875896305,-162.990435377964,163.634242602358,29737.6162347503,-169921.893319651,-5429131.81486273,54601259.0274963,849.722500000002,24769.4108750001,2018-09-27 06:53:36,2018-09-27 18:51:43,2018-09-27 18:51:43,TRUE,"Day",0.852222222222222,"sunset",FALSE,TRUE,TRUE,FALSE,9,0.0248,0.03285,0.06505,0.050725,0.4919,0.1995,0.08865,0.813038470398526,-0.42291003760486,TRUE,FALSE,"vegetated","AG"
2,2019,2019-07-27,36.336222,-120.11291,2019-07-27 17:30:00,40.19,2019-07-27 17:36:35,36.6,"FivePoints",14.513248758963,-49.8312806738761,-2280.53939584278,-8239.14538455242,371494.802378692,4558470.60992241,-43136980.196991,1615.2361,64916.338859,2019-07-27 06:04:10,2019-07-27 20:12:05,2019-07-27 20:12:05,TRUE,"Day",2.59166666666667,"sunset",FALSE,FALSE,FALSE,FALSE,7,0.0278,0.035825,0.0691,0.05815,0.457325,0.210825,0.0969,0.774382850768708,-0.368929132679787,TRUE,FALSE,"vegetated","AG"
