Category,ID,Latitude,Longitude,Date,ARD_Tile,CU_LC08_001_Line_Y_30m,CU_LC08_001_Sample_X_30m,CU_LC08_001_SRB1,CU_LC08_001_SRB2,CU_LC08_001_SRB3,CU_LC08_001_SRB4,CU_LC08_001_SRB5,CU_LC08_001_SRB6,CU_LC08_001_SRB7,CU_LC08_001_PIXELQA,CU_LC08_001_PIXELQA_bitmask,CU_LC08_001_PIXELQA_Fill,CU_LC08_001_PIXELQA_Fill_Description,CU_LC08_001_PIXELQA_Clear,CU_LC08_001_PIXELQA_Clear_Description,CU_LC08_001_PIXELQA_Water,CU_LC08_001_PIXELQA_Water_Description,CU_LC08_001_PIXELQA_Cloud_Shadow,CU_LC08_001_PIXELQA_Cloud_Shadow_Description,CU_LC08_001_PIXELQA_Snow,CU_LC08_001_PIXELQA_Snow_Description,CU_LC08_001_PIXELQA_Cloud,CU_LC08_001_PIXELQA_Cloud_Description,CU_LC08_001_PIXELQA_Cloud_Confidence,CU_LC08_001_PIXELQA_Cloud_Confidence_Description,CU_LC08_001_PIXELQA_Cirrus_Confidence,CU_LC08_001_PIXELQA_Cirrus_Confidence_Description,CU_LC08_001_PIXELQA_Terrain_Occlusion,CU_LC08_001_PIXELQA_Terrain_Occlusion_Description,CU_LC08_001_PIXELQA_Unused,CU_LC08_001_PIXELQA_Unused_Description
Belridge,146,35.505833,-119.69114,2020-07-03,h003v011,574.0,241.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0b00000000000000000000000000000001,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b00,None,0b00,Not set,0b0,No,0b00000,
Belridge,146,35.505833,-119.69114,2020-07-19,h003v011,574.0,241.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0b00000000000000000000000000000001,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b00,None,0b00,Not set,0b0,No,0b00000,
Belridge,146,35.505833,-119.69114,2020-07-26,h003v011,574.0,241.0,0.0481,0.0596,0.1051,0.1003,0.4126,0.2782,0.1594,322.0,0b00000000000000000000000101000010,0b0,No,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b01,Low,0b01,Low from OLI Band 9 reflectance,0b0,No,0b00000,
Blackwells Corner,54,35.649861,-119.9593,2020-07-01,h002v010,4854.0,4596.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0b00000000000000000000000000000001,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b00,None,0b00,Not set,0b0,No,0b00000,
Blackwells Corner,54,35.649861,-119.9593,2020-07-24,h002v010,4854.0,4596.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0b00000000000000000000000000000001,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b00,None,0b00,Not set,0b0,No,0b00000,
Blackwells Corner,54,35.649861,-119.9593,2020-07-26,h002v010,4854.0,4596.0,0.0795,0.1098,0.18,0.2333,0.3478,0.4266,0.3249,322.0,0b00000000000000000000000101000010,0b0,No,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b01,Low,0b01,Low from OLI Band 9 reflectance,0b0,No,0b00000,
Coalinga,205,36.175833,-120.36027,2020-07-01,h002v010,2653.0,3933.0,0.0795,0.1038,0.1504,0.2009,0.2939,0.3931,0.2727,322.0,0b00000000000000000000000101000010,0b0,No,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b01,Low,0b01,Low from OLI Band 9 reflectance,0b0,No,0b00000,
Coalinga,205,36.175833,-120.36027,2020-07-24,h002v010,2653.0,3933.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0b00000000000000000000000000000001,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b00,None,0b00,Not set,0b0,No,0b00000,
Coalinga,205,36.175833,-120.36027,2020-07-26,h002v010,2653.0,3933.0,0.0867,0.1168,0.1693,0.2243,0.3227,0.4248,0.2923,322.0,0b00000000000000000000000101000010,0b0,No,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b01,Low,0b01,Low from OLI Band 9 reflectance,0b0,No,0b00000,
Delano,182,35.833,-119.25596,2020-07-01,h003v010,4708.0,1801.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0b00000000000000000000000000000001,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b00,None,0b00,Not set,0b0,No,0b00000,
